Attribute,Personality
Accurate,Compliant
Analyst,Compliant
Cautious,Compliant
Modest,Compliant
Diplomatic,Compliant
Fact Discoverer,Compliant
High Standard,Compliant
Mellow,Compliant
Patient,Compliant
cooperative,Compliant
Careful,Compliant
Friendly,Steady
Kind,Steady
Listener,Steady
Patient,Steady
Independent,Steady
Relaxed,Steady
Warm,Steady
Steady,Steady
Team partner,Steady
Perceptive,Steady
explore,Steady
Safe,Steady
adaptable,Innovative
flexible,Compliant
flexible,Innovative
adaptable,Compliant
willing,Active
volunteer,Active
support,Active
Event,Active
Competition,Active
Club,Active
participate,Active
Committee,Active
Society,Active
leader,Leadership
leader,Active
leader,Responsible
leader,Conscientiousness
coach,Leadership
coach,Active
coach,Responsible
coach,Conscientiousness
Director,Leadership
Event,Extroversion
propose,Knowledge-sharing
lead,Leadership
lead,Teamwork
accomplish ,Conscientiousness
monitor ,Leadership
monitor ,Active
monitor ,Responsible
monitor ,Conscientiousness
coach,Leadership
coach,Active
coach,Responsible
coach,Conscientiousness
3.81,Hard Working
3.82,Hard Working
3.83,Hard Working
3.84,Hard Working
conscientious,Conscientiousness
3.85,Hard Working
3.86,Hard Working
3.87,Hard Working
3.88,Hard Working
3.89,Hard Working
Scholarship,Hard Working
tutor,Hard Working
3.8,Hard Working
3.9,Hard Working
3.91,Hard Working
3.92,Hard Working
3.93,Hard Working
3.94,Hard Working
3.95,Hard Working
3.96,Hard Working
3.97,Hard Working
3.98,Hard Working
3.99,Hard Working
4,Hard Working
Dean's Award,Hard Working
1st Class Honours,Hard Working
First Class Honor,Hard Working
club,Extroversion
society,Extroversion
Event,Extroversion
listening,Openness
negotiation,Openness
communication,Openness
President,Leadership
esteem,Confidence
chairperson,Leadership
chairperson,Active
chairperson,Responsible
chairperson,Conscientiousness
President,Active
President,Responsible
President,Conscientiousness
champion,Extroversion
champion,Conscientiousness
monitor,Leadership
team,Teamwork
teamwork,Teamwork
hardworking,Hard Working
responsible,Responsible
leadership,Leadership
parttime,Hard Working
committee ,Extroversion
participate,Extroversion
3.81,Responsible
3.82,Responsible
3.83,Responsible
3.84,Responsible
3.85,Responsible
3.86,Responsible
3.87,Responsible
3.88,Responsible
3.89,Responsible
3.8,Responsible
3.9,Responsible
3.91,Responsible
3.92,Responsible
3.93,Responsible
3.94,Responsible
3.95,Responsible
3.96,Responsible
3.97,Responsible
3.98,Responsible
3.99,Responsible
4,Responsible
